country,region,subregion,indicator,dimension,category,sex,year,unit_of_measurement,value,source,porcentaje
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",850.1174541,CTS,0.8501
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",259.3637959,CTS,0.2594
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",5.27262182,CTS,0.0053
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",107.4739152,CTS,0.1075
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",29.12488632,CTS,0.0291
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",0.143850016,CTS,0.0001
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",155.1045057,CTS,0.1551
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",51.03599569,CTS,0.051
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",6.543757077,CTS,0.0065
Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",41.25366126,CTS,0.0413
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",1.565173242,CTS,0.0016
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",20.41198726,CTS,0.0204
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",27.92641819,CTS,0.0279
Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",35.55183271,CTS,0.0356
Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",0.830365505,CTS,0.0008
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",11.56324219,CTS,0.0116
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",112.757383,CTS,0.1128
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",9.030946145,CTS,0.009
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",12.87598481,CTS,0.0129
Puerto Rico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",108.7194807,CTS,0.1087
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",7.214582219,CTS,0.0072
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",8.391409556,CTS,0.0084
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",13.16172426,CTS,0.0132
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",1.154671768,CTS,0.0012
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",7.664388798,CTS,0.0077
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",76.73136384,CTS,0.0767
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",73.40716932,CTS,0.0734
Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",99.50804195,CTS,0.0995
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",22.94694401,CTS,0.0229
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",5.377754212,CTS,0.0054
Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",43.99324432,CTS,0.044
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",13.52496759,CTS,0.0135
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",15.27991683,CTS,0.0153
United States of America,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",280.5857109,CTS,0.2806
Holy See,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",,CTS,
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2022,"Rate per 100,000 population",416.5564347,CTS/NGO,0.4166
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.139184463,CTS,0.0001
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.792474144,CTS,0.0008
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.290531879,CTS,0.0003
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.524497253,CTS,0.0015
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",5.427909224,CTS,0.0054
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.074363977,CTS,0.0021
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.067568024,CTS,0.0001
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.107497953,CTS,0.0001
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.020909937,CTS,0.001
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",3.954943308,CTS,0.004
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.208289196,CTS,0.0002
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.082696134,CTS,0.0001
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.339635987,CTS,0.0003
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.254033756,CTS/DATASUS,0.0003
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.855312398,CTS,0.0029
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",9.900703803,CTS,0.0099
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.058305033,CTS,0.0001
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.111401537,CTS,0.0021
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.515856958,CTS/NSO,0.0005
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.777087368,CTS,0.0008
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.255677415,CTS,0.0003
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.651022064,CTS,0.0007
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.113885802,CTS,0.0001
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",5.428864609,CTS,0.0054
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.8000224,CTS,0.0028
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.352534024,CTS/NGO,0.0024
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.138155931,CTS,0.0001
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",4.947029594,CTS,0.0049
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.188833883,CTS,0.0002
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.018110899,CTS,0.0
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",8.830777472,CTS,0.0088
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",4.171800005,CTS,0.0042
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",4.081782073,CTS,0.0041
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.279167535,CTS,0.0003
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.680913908,CTS,0.0007
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.145774157,CTS,0.0011
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.271116213,CTS,0.0003
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.024214529,CTS,0.0
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.051167667,CTS,0.0001
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.776953888,CTS,0.0018
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.867021344,CTS,0.0009
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",6.517253878,CTS,0.0065
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.214305093,CTS,0.0002
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.604170983,CTS,0.0006
Jordan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.682449916,CTS,0.0017
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.052991622,CTS,0.0001
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.138985863,CTS,0.0001
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",5.599621466,CTS,0.0056
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.979229978,CTS,0.001
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",7.09708326,CTS,0.0071
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.678300034,CTS,0.0007
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.415022587,CTS,0.0014
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.422229346,CTS,0.0014
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.709496277,CTS,0.0007
Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",,CTS,
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.01885362,CTS,0.0
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.317260896,CTS,0.0003
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.123745913,CTS,0.0001
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",3.147166835,CTS,0.0031
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.045018521,CTS,0.0
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",2.937236102,CTS,0.0029
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",9.276000124,CTS,0.0093
Oman,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.152082399,CTS,0.0002
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",8.928616213,CTS,0.0089
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.189012156,CTS/PPR,0.0002
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",3.497349159,CTS,0.0035
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.142234875,CTS,0.0001
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",3.284767048,CTS,0.0033
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.306277447,CTS,0.0003
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",4.012403827,CTS,0.004
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.808011602,CTS,0.0018
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.201039798,CTS,0.0002
Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.173052094,CTS,0.0002
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.33438335,CTS,0.0003
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.108092683,CTS,0.0001
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.705194278,CTS,0.0017
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.520610989,CTS,0.0005
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.009816603,CTS,0.0
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.121890331,CTS/DMDB,0.0011
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.233344388,CTS,0.0002
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",0.066713269,CTS,0.0001
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",13.3430547,CTS/NGO,0.0133
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2019,"Rate per 100,000 population",1.244917329,CTS,0.0012
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.174407512,CTS,0.0002
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.829090168,CTS,0.0008
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.215383096,CTS,0.0002
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",3.237503238,CTS,0.0032
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.566027274,CTS,0.0016
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.033678436,CTS,0.0
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.048614719,CTS,0.0
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.160595629,CTS,0.0012
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.246019709,CTS,0.0002
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.030134932,CTS,0.0
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.253215521,CTS/MoI,0.0003
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.209447559,CTS,0.0002
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.059135134,CTS/DATASUS,0.0021
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",9.26397458,CTS,0.0093
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.069455594,CTS,0.0001
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.621735189,CTS,0.0016
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.309874525,CTS/NSO,0.0013
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.486936524,CTS,0.0005
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.136635888,CTS,0.0001
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.16161133,CTS,0.0002
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.104453974,CTS,0.0001
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",5.47828566,CTS,0.0055
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",11.11195994,CTS,0.0111
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.927301052,CTS/NGO,0.0009
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.480994216,CTS,0.0005
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",3.661463371,CTS,0.0037
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.160460075,CTS,0.0002
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.054254767,CTS,0.0001
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",9.653427065,CTS,0.0097
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",4.326012524,CTS,0.0043
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",4.518843761,CTS,0.0045
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.254813473,CTS,0.0003
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.694429118,CTS,0.0007
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.002147187,CTS,0.001
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.01333163,CTS,0.0
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.029639105,CTS,0.0
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.024408878,CTS,0.0
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.112813883,CTS,0.0001
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.143094414,CTS,0.0021
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",3.119352774,CTS,0.0031
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",7.068235305,CTS,0.0071
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.196636742,CTS,0.0002
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.567288178,CTS,0.0006
Jordan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.537233863,CTS,0.0015
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.269073131,CTS/MoI,0.0003
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.040395662,CTS,0.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.098966259,CTS,0.0021
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.088726539,CTS,0.0001
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",6.137142825,CTS,0.0061
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.035457636,CTS,0.0
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",6.662441833,CTS,0.0067
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.632560415,CTS,0.0006
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.147867091,CTS,0.0001
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.498790202,CTS,0.0005
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",1.426326816,CTS,0.0014
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.811122042,CTS,0.0008
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.094738597,CTS,0.0001
Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",,CTS,
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.024333998,CTS,0.0
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",0.06071028,CTS,0.0001
Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.773865258,CTS,0.0028
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.048934996,CTS,0.002
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,2020,"Rate per 100,000 population",2.982582065,CTS,0.003
